Skater,Height,Weight,Position,Last Amateur Club,League,7/11/2022,11/15/2022,1/31/2023,3/7/2023,8/8/2022,11/1/2022,3/1/2023,9/29/2022,11/30/2022,1/10/2023,3/28/2023,9/22/2022,1/23/2023,9/20/2022,12/23/2022,4/19/2023,12/19/2022,1/17/2023,3/23/2023,12/19/2022,11/3/2022,8/23/2022,1/19/2023,2/8/2023,3/31/2023,10/19/2022,11/16/2022,12/14/2022,1/18/2023,2/15/2023,3/15/2023,4/12/2023,11/8/2022,1/31/2023,10/3/2022,1/26/2023,4/20/2023,11/25/2022,3/9/2023,2/9/2023,11/7/2022,1/12/2023,1/16/2023,5/1/2023,5/3/2023,10/11/2022,12/15/2022,4/25/2023,5/5/2023,5/5/2023,5/5/2023,5/2/2023,12/15/2022,2/6/2023,5/12/2023,5/11/2023,5/15/2023,5/17/2023,5/18/2023,5/28/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/5/2023,6/5/2023,6/6/2023
"BEDARD, CONNOR","5' 10""",185,CENTER,REGINA,WHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"FANTILLI, ADAM","6' 2""",195,CENTER,MICHIGAN,BIG10,3,2,2,3,3,2,2,4,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
"MICHKOV, MATVEI","5' 10""",172,RIGHT WING,SKA ST. PETERSBURG,RUSSIA,2,3,3,2,2,3,3,3,5,5,4,2,4,2,3,3,4,4,4,5,3,3,4,2,4,2,4,4,4,4,3,3,4,4,2,3,3,5,4,3,3,3,3,3,3,2,2,2,5,3,4,3,3,3,3,3,4,5,4,3,5,3,3,4,4,2,4,3
"CARLSSON, LEO","6' 3""",198,CENTER,OREBRO,SWEDEN,15,4,4,4,6,4,4,6,3,3,3,5,3,4,4,4,3,3,3,3,4,19,3,4,3,4,2,2,2,3,4,4,3,3,7,4,4,3,3,4,5,6,7,4,4,6,4,4,4,4,3,4,4,4,6,4,3,3,3,4,3,4,4,3,3,4,3,4
"SMITH, WILLIAM","6' 0""",181,CENTER,USA U-18,NTDP,17,5,5,6,15,10,5,16,6,6,6,,6,15,8,7,7,8,9,6,8,15,5,5,5,17,10,7,5,5,6,5,9,5,19,7,6,17,8,6,17,5,6,5,5,23,15,5,3,5,6,5,7,6,5,7,6,4,5,6,4,5,5,5,5,5,7,5
"CHESLOCK, CHASE","6' 3""",208,DEFENSEMAN,ROGERS,HIGH-MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,5
"BENSON, ZACH","5' 9""",163,LEFT WING,WINNIPEG,WHL,4,12,12,13,4,5,6,9,9,9,8,7,5,5,5,5,6,5,5,4,6,9,9,6,6,6,6,6,8,6,5,6,10,7,6,5,5,4,5,5,6,4,4,6,17,8,6,6,8,7,7,6,5,5,4,6,14,7,8,5,6,7,17,7,8,6,5,6
"DVORSKY, DALIBOR","6' 1""",201,CENTER,AIK,SWEDEN-2,5,6,13,11,5,7,8,8,10,19,19,9,9,7,9,17,8,11,17,17,10,6,11,14,13,7,7,8,10,12,11,16,8,10,8,11,15,19,18,11,9,8,9,9,8,4,7,16,6,11,10,9,8,13,14,39,9,11,6,19,7,9,8,21,9,8,11,7
"SANDIN PELLIKKA, AXEL","5' 11""",176,DEFENSEMAN,SKELLEFTEA JR.,SWEDEN-JR.,,,24,18,,46,21,,27,10,10,,17,,12,10,12,13,14,9,29,,13,13,16,,,22,16,15,17,13,23,17,,10,14,13,11,12,,18,12,16,22,,24,11,,10,11,13,10,12,11,11,5,12,14,8,14,10,22,8,16,16,15,8
"MOORE, OLIVER","5' 11""",188,CENTER,USA U-18,NTDP,21,14,10,14,18,14,9,28,11,16,14,,11,21,18,6,9,7,6,21,22,20,14,15,18,21,16,12,11,16,18,14,29,12,26,9,7,14,7,13,18,17,8,7,19,19,18,10,,9,16,8,20,7,16,5,16,13,7,7,11,11,19,6,12,9,8,9
